date,home_team,away_team,home_score,away_score,home_elo,away_elo,home_fifa_ranking,away_fifa_ranking,home_average_age,away_average_age,home_squad_size,away_squad_size,home_market_value,away_market_value,home_confederation,away_confederation,neutral,tournament
1881-03-14,Wales,Scotland,1.0,5.0,1499.0,2011.0,37,42,26.6,29.3,27,26,180649994.0,170250000.0,UEFA,UEFA,False,Friendly
1882-03-11,Scotland,England,5.0,1.0,2011.0,1990.0,42,4,29.3,27.3,26,26,170250000.0,34375000.0,UEFA,UEFA,False,Friendly
1882-03-13,Wales,England,5.0,3.0,1511.0,1990.0,37,4,26.6,27.3,27,26,180649994.0,34375000.0,UEFA,UEFA,False,Friendly
1882-03-25,Scotland,Wales,5.0,0.0,2011.0,1511.0,42,37,29.3,26.6,26,27,170250000.0,180649994.0,UEFA,UEFA,False,Friendly
1883-02-03,England,Wales,5.0,0.0,1990.0,1511.0,4,37,27.3,26.6,26,27,34375000.0,180649994.0,UEFA,UEFA,False,Friendly
1883-03-10,England,Scotland,2.0,3.0,1901.0,2011.0,4,42,27.3,29.3,26,26,34375000.0,170250000.0,UEFA,UEFA,False,Friendly
1883-03-12,Wales,Scotland,0.0,3.0,1511.0,2011.0,37,42,26.6,29.3,27,26,180649994.0,170250000.0,UEFA,UEFA,False,Friendly
1884-03-15,Scotland,England,1.0,0.0,2011.0,1898.0,42,4,29.3,27.3,26,26,170250000.0,34375000.0,UEFA,UEFA,False,British Home Championship
1884-03-17,Wales,England,0.0,4.0,1511.0,1898.0,37,4,26.6,27.3,27,26,180649994.0,34375000.0,UEFA,UEFA,False,British Home Championship
1884-03-29,Scotland,Wales,4.0,1.0,2011.0,1511.0,42,37,29.3,26.6,26,27,170250000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1885-03-14,England,Wales,1.0,1.0,1898.0,1511.0,4,37,27.3,26.6,26,27,34375000.0,180649994.0,UEFA,UEFA,False,British Home Championship
1885-03-21,England,Scotland,1.0,1.0,1898.0,2011.0,4,42,27.3,29.3,26,26,34375000.0,170250000.0,UEFA,UEFA,False,British Home Championship
1885-03-23,Wales,Scotland,1.0,8.0,1511.0,2011.0,37,42,26.6,29.3,27,26,180649994.0,170250000.0,UEFA,UEFA,False,British Home Championship
